zip	type	decommissioned	primary_city	acceptable_cities	state	county	timezone	area_codes	world_region	country	latitude	longitude	irs_estimated_population_2015
1001	STANDARD	0	Agawam		MA	Hampden County	America/New_York	413	NA	US	42.06	-72.61	15220
1002	STANDARD	0	Amherst	"Cushman, Pelham"	MA	Hampshire County	America/New_York	413	NA	US	42.37	-72.52	16570
1003	PO BOX	0	Amherst		MA	Hampshire County	America/New_York	413	NA	US	42.39	-72.52	184
1004	PO BOX	0	Amherst		MA	Hampshire County	America/New_York	413	NA	US	42.37	-72.52	794
1005	STANDARD	0	Barre		MA	Worcester County	America/New_York	978	NA	US	42.42	-72.1	4270
1007	STANDARD	0	Belchertown		MA	Hampshire County	America/New_York	413	NA	US	42.27	-72.4	14180
1008	STANDARD	0	Blandford		MA	Hampden County	America/New_York	413	NA	US	42.18	-72.93	1140
1009	PO BOX	0	Bondsville		MA	Hampden County	America/New_York	413	NA	US	42.2	-72.34	1238
1010	STANDARD	0	Brimfield		MA	Hampden County	America/New_York	413	NA	US	42.11	-72.2	3420
1011	STANDARD	0	Chester		MA	Hampden County	America/New_York	413	NA	US	42.28	-72.98	1090
1012	STANDARD	0	Chesterfield		MA	Hampshire County	America/New_York	413	NA	US	42.4	-72.85	610
1013	STANDARD	0	Chicopee	Willimansett	MA	Hampden County	America/New_York	413	NA	US	42.15	-72.6	18880
1014	PO BOX	0	Chicopee		MA	Hampden County	America/New_York	413	NA	US	42.17	-72.57	354
1020	STANDARD	0	Chicopee		MA	Hampden County	America/New_York	413	NA	US	42.17	-72.57	25790
1021	PO BOX	0	Chicopee		MA	Hampden County	America/New_York	413	NA	US	42.17	-72.57	566
1022	STANDARD	0	Chicopee	Westover Afb	MA	Hampden County	America/New_York	413	NA	US	42.2	-72.54	1780
1026	STANDARD	0	Cummington		MA	Hampshire County	America/New_York	413	NA	US	42.46	-72.9	890
1027	STANDARD	0	Easthampton	"E Hampton, Mount Tom, Westhampton"	MA	Hampshire County	America/New_York	413	NA	US	42.26	-72.68	16320
1028	STANDARD	0	East Longmeadow	E Longmeadow	MA	Hampden County	America/New_York	413	NA	US	42.06	-72.51	15330
